event_index,event,waypoint_index,x_cm,y_cm,next_x_cm,next_y_cm,host_timestamp_utc,recorder_elapsed_s
40,waypoint_advanced,19,17.58,13.84,22.28,14.53,2026-07-30T19:43:17.163+00:00,647.3
41,waypoint_shown,20,22.28,14.53,9.01,21.05,2026-07-30T19:43:17.163+00:00,647.3
42,waypoint_advanced,20,22.28,14.53,9.01,21.05,2026-07-30T19:43:17.197+00:00,647.3
43,waypoint_shown,21,9.01,21.05,2.43,11.15,2026-07-30T19:43:17.198+00:00,647.3
44,waypoint_advanced,21,9.01,21.05,2.43,11.15,2026-07-30T19:43:17.231+00:00,647.3
45,waypoint_shown,22,2.43,11.15,19.34,18.14,2026-07-30T19:43:17.231+00:00,647.3
46,waypoint_advanced,22,2.43,11.15,19.34,18.14,2026-07-30T19:43:17.257+00:00,647.3
47,waypoint_shown,23,19.34,18.14,24.42,23.64,2026-07-30T19:43:17.258+00:00,647.3
48,waypoint_advanced,23,19.34,18.14,24.42,23.64,2026-07-30T19:43:17.292+00:00,647.3
49,waypoint_shown,24,24.42,23.64,4.39,19.94,2026-07-30T19:43:17.292+00:00,647.3
50,waypoint_advanced,24,24.42,23.64,4.39,19.94,2026-07-30T19:43:17.324+00:00,647.3
51,waypoint_shown,25,4.39,19.94,3.07,15.77,2026-07-30T19:43:17.325+00:00,647.3
52,waypoint_advanced,25,4.39,19.94,3.07,15.77,2026-07-30T19:43:17.367+00:00,647.9
53,waypoint_shown,26,3.07,15.77,7.77,5.92,2026-07-30T19:43:17.367+00:00,647.9
54,waypoint_advanced,26,3.07,15.77,7.77,5.92,2026-07-30T19:43:17.390+00:00,647.9
55,waypoint_shown,27,7.77,5.92,23.88,1.97,2026-07-30T19:43:17.391+00:00,647.9
56,waypoint_advanced,27,7.77,5.92,23.88,1.97,2026-07-30T19:43:17.420+00:00,647.9
57,waypoint_shown,28,23.88,1.97,13.93,15.96,2026-07-30T19:43:17.420+00:00,647.9
58,waypoint_advanced,28,23.88,1.97,13.93,15.96,2026-07-30T19:43:17.452+00:00,647.9
59,waypoint_shown,29,13.93,15.96,6.35,5.43,2026-07-30T19:43:17.453+00:00,647.9
60,waypoint_advanced,29,13.93,15.96,6.35,5.43,2026-07-30T19:43:17.485+00:00,647.9
61,waypoint_shown,30,6.35,5.43,14.93,2.47,2026-07-30T19:43:17.485+00:00,647.9
62,waypoint_advanced,30,6.35,5.43,14.93,2.47,2026-07-30T19:43:17.518+00:00,647.9
63,waypoint_shown,31,14.93,2.47,14.99,8.33,2026-07-30T19:43:17.518+00:00,647.9
64,waypoint_advanced,31,14.93,2.47,14.99,8.33,2026-07-30T19:43:17.547+00:00,647.9
65,waypoint_shown,32,14.99,8.33,22.98,15.49,2026-07-30T19:43:17.547+00:00,647.9
66,waypoint_advanced,32,14.99,8.33,22.98,15.49,2026-07-30T19:43:17.580+00:00,647.9
67,waypoint_shown,33,22.98,15.49,1.53,2.96,2026-07-30T19:43:17.581+00:00,647.9
68,waypoint_advanced,33,22.98,15.49,1.53,2.96,2026-07-30T19:43:17.613+00:00,647.9
69,waypoint_shown,34,1.53,2.96,10.49,19.74,2026-07-30T19:43:17.613+00:00,647.9
70,waypoint_advanced,34,1.53,2.96,10.49,19.74,2026-07-30T19:43:17.646+00:00,647.9
71,waypoint_shown,35,10.49,19.74,17.38,20.23,2026-07-30T19:43:17.647+00:00,647.9
72,waypoint_advanced,35,10.49,19.74,17.38,20.23,2026-07-30T19:43:17.679+00:00,647.9
73,waypoint_shown,36,17.38,20.23,10.58,7.76,2026-07-30T19:43:17.679+00:00,647.9
74,waypoint_advanced,36,17.38,20.23,10.58,7.76,2026-07-30T19:43:17.712+00:00,647.9
75,waypoint_shown,37,10.58,7.76,8.71,16.21,2026-07-30T19:43:17.713+00:00,647.9
76,waypoint_advanced,37,10.58,7.76,8.71,16.21,2026-07-30T19:43:17.746+00:00,647.9
77,waypoint_shown,38,8.71,16.21,18.26,6.52,2026-07-30T19:43:17.747+00:00,647.9
78,waypoint_advanced,38,8.71,16.21,18.26,6.52,2026-07-30T19:43:17.779+00:00,647.9
79,waypoint_shown,39,18.26,6.52,14.03,10.48,2026-07-30T19:43:17.779+00:00,647.9
80,waypoint_advanced,39,18.26,6.52,14.03,10.48,2026-07-30T19:43:17.813+00:00,647.9
81,waypoint_shown,40,14.03,10.48,22.85,10.0,2026-07-30T19:43:17.814+00:00,647.9
82,waypoint_advanced,40,14.03,10.48,22.85,10.0,2026-07-30T19:43:17.845+00:00,647.9
83,waypoint_shown,41,22.85,10.0,17.61,10.88,2026-07-30T19:43:17.846+00:00,647.9
84,waypoint_advanced,41,22.85,10.0,17.61,10.88,2026-07-30T19:43:17.880+00:00,647.9
85,waypoint_shown,42,17.61,10.88,9.59,14.76,2026-07-30T19:43:17.880+00:00,647.9
86,waypoint_advanced,42,17.61,10.88,9.59,14.76,2026-07-30T19:43:17.912+00:00,647.9
87,waypoint_shown,43,9.59,14.76,24.79,1.71,2026-07-30T19:43:17.913+00:00,647.9
88,waypoint_advanced,43,9.59,14.76,24.79,1.71,2026-07-30T19:43:17.945+00:00,647.9
89,waypoint_shown,44,24.79,1.71,7.2,2.95,2026-07-30T19:43:17.946+00:00,647.9
90,waypoint_advanced,44,24.79,1.71,7.2,2.95,2026-07-30T19:43:17.986+00:00,649.0
91,waypoint_shown,45,7.2,2.95,16.63,9.62,2026-07-30T19:43:17.986+00:00,649.0
92,waypoint_advanced,45,7.2,2.95,16.63,9.62,2026-07-30T19:43:18.011+00:00,649.0
93,waypoint_shown,46,16.63,9.62,7.92,22.79,2026-07-30T19:43:18.011+00:00,649.0
94,waypoint_advanced,46,16.63,9.62,7.92,22.79,2026-07-30T19:43:18.044+00:00,649.0
95,waypoint_shown,47,7.92,22.79,23.75,5.42,2026-07-30T19:43:18.044+00:00,649.0
96,waypoint_advanced,47,7.92,22.79,23.75,5.42,2026-07-30T19:43:18.077+00:00,649.0
97,waypoint_shown,48,23.75,5.42,8.53,11.7,2026-07-30T19:43:18.077+00:00,649.0
98,waypoint_advanced,48,23.75,5.42,8.53,11.7,2026-07-30T19:43:18.110+00:00,649.0
99,waypoint_shown,49,8.53,11.7,9.24,18.54,2026-07-30T19:43:18.111+00:00,649.0
100,waypoint_advanced,49,8.53,11.7,9.24,18.54,2026-07-30T19:43:18.144+00:00,649.0
101,waypoint_shown,50,9.24,18.54,18.66,17.69,2026-07-30T19:43:18.144+00:00,649.0
102,waypoint_advanced,50,9.24,18.54,18.66,17.69,2026-07-30T19:43:18.172+00:00,649.0
103,waypoint_shown,51,18.66,17.69,16.12,2.84,2026-07-30T19:43:18.173+00:00,649.0
104,waypoint_advanced,51,18.66,17.69,16.12,2.84,2026-07-30T19:43:18.206+00:00,649.0
105,waypoint_shown,52,16.12,2.84,11.89,23.15,2026-07-30T19:43:18.206+00:00,649.0
106,waypoint_advanced,52,16.12,2.84,11.89,23.15,2026-07-30T19:43:18.238+00:00,649.0
107,waypoint_shown,53,11.89,23.15,5.81,7.48,2026-07-30T19:43:18.238+00:00,649.0
108,waypoint_advanced,53,11.89,23.15,5.81,7.48,2026-07-30T19:43:18.272+00:00,649.0
109,waypoint_shown,54,5.81,7.48,16.96,23.87,2026-07-30T19:43:18.273+00:00,649.0
110,waypoint_advanced,54,5.81,7.48,16.96,23.87,2026-07-30T19:43:18.622+00:00,649.6
111,waypoint_shown,55,16.96,23.87,20.99,24.8,2026-07-30T19:43:18.622+00:00,649.6
112,waypoint_advanced,55,16.96,23.87,20.99,24.8,2026-07-30T19:43:19.107+00:00,650.7
113,waypoint_shown,56,20.99,24.8,13.53,18.95,2026-07-30T19:43:19.107+00:00,650.7
114,waypoint_advanced,56,20.99,24.8,13.53,18.95,2026-07-30T19:43:19.132+00:00,650.7
115,waypoint_shown,57,13.53,18.95,8.89,15.58,2026-07-30T19:43:19.132+00:00,650.7
116,waypoint_advanced,57,13.53,18.95,8.89,15.58,2026-07-30T19:43:19.166+00:00,650.7
117,waypoint_shown,58,8.89,15.58,2.31,17.88,2026-07-30T19:43:19.167+00:00,650.7
118,waypoint_advanced,58,8.89,15.58,2.31,17.88,2026-07-30T19:43:19.200+00:00,650.7
119,waypoint_shown,59,2.31,17.88,13.61,18.55,2026-07-30T19:43:19.200+00:00,650.7
120,waypoint_advanced,59,2.31,17.88,13.61,18.55,2026-07-30T19:43:19.233+00:00,650.7
121,waypoint_shown,60,13.61,18.55,4.5,19.22,2026-07-30T19:43:19.233+00:00,650.7
122,waypoint_advanced,60,13.61,18.55,4.5,19.22,2026-07-30T19:43:19.534+00:00,650.7
123,waypoint_shown,61,4.5,19.22,4.06,2.86,2026-07-30T19:43:19.534+00:00,650.7
124,waypoint_advanced,61,4.5,19.22,4.06,2.86,2026-07-30T19:43:20.244+00:00,652.4
125,waypoint_shown,62,4.06,2.86,14.36,6.72,2026-07-30T19:43:20.244+00:00,652.4
126,waypoint_advanced,62,4.06,2.86,14.36,6.72,2026-07-30T19:43:20.446+00:00,652.4
127,waypoint_shown,63,14.36,6.72,5.5,2.86,2026-07-30T19:43:20.447+00:00,652.4
128,waypoint_advanced,63,14.36,6.72,5.5,2.86,2026-07-30T19:43:20.662+00:00,652.4
129,waypoint_shown,64,5.5,2.86,21.46,23.83,2026-07-30T19:43:20.663+00:00,652.4
130,waypoint_advanced,64,5.5,2.86,21.46,23.83,2026-07-30T19:43:25.574+00:00,655.9
131,waypoint_shown,65,21.46,23.83,4.61,18.36,2026-07-30T19:43:25.575+00:00,655.9
