run_id,architecture,temporal_mode,target,session,seed,run_directory
position_inverted-caret-lavender-left-mint-right-run01_transformer_bidirectional_seed2,transformer,bidirectional,position,inverted-caret-lavender-left-mint-right-run01,2,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_bidirectional_seed2
position_lavender-only-horizontal-run01_transformer_bidirectional_seed2,transformer,bidirectional,position,lavender-only-horizontal-run01,2,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_bidirectional_seed2
position_mint-only-horizontal-run01_transformer_bidirectional_seed2,transformer,bidirectional,position,mint-only-horizontal-run01,2,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_bidirectional_seed2
distance_pooled_transformer_bidirectional_seed2,transformer,bidirectional,distance,,2,output/spatial-sequence/runs/distance/transformer_bidirectional_seed2
area_pooled_transformer_bidirectional_seed2,transformer,bidirectional,area,,2,output/spatial-sequence/runs/area/transformer_bidirectional_seed2
height_pooled_transformer_bidirectional_seed2,transformer,bidirectional,height,,2,output/spatial-sequence/runs/height/transformer_bidirectional_seed2
velocity_pooled_transformer_bidirectional_seed2,transformer,bidirectional,velocity,,2,output/spatial-sequence/runs/velocity/transformer_bidirectional_seed2
position_caret-lavender-left-mint-right-run01_transformer_bidirectional_seed3,transformer,bidirectional,position,caret-lavender-left-mint-right-run01,3,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_bidirectional_seed3
position_caret-mint-left-lavender-right-run01_transformer_bidirectional_seed3,transformer,bidirectional,position,caret-mint-left-lavender-right-run01,3,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_bidirectional_seed3
position_inverted-caret-lavender-left-mint-right-run01_transformer_bidirectional_seed3,transformer,bidirectional,position,inverted-caret-lavender-left-mint-right-run01,3,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_bidirectional_seed3
position_lavender-only-horizontal-run01_transformer_bidirectional_seed3,transformer,bidirectional,position,lavender-only-horizontal-run01,3,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_bidirectional_seed3
position_mint-only-horizontal-run01_transformer_bidirectional_seed3,transformer,bidirectional,position,mint-only-horizontal-run01,3,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_bidirectional_seed3
distance_pooled_transformer_bidirectional_seed3,transformer,bidirectional,distance,,3,output/spatial-sequence/runs/distance/transformer_bidirectional_seed3
area_pooled_transformer_bidirectional_seed3,transformer,bidirectional,area,,3,output/spatial-sequence/runs/area/transformer_bidirectional_seed3
height_pooled_transformer_bidirectional_seed3,transformer,bidirectional,height,,3,output/spatial-sequence/runs/height/transformer_bidirectional_seed3
velocity_pooled_transformer_bidirectional_seed3,transformer,bidirectional,velocity,,3,output/spatial-sequence/runs/velocity/transformer_bidirectional_seed3
position_caret-lavender-left-mint-right-run01_transformer_bidirectional_seed4,transformer,bidirectional,position,caret-lavender-left-mint-right-run01,4,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/transformer_bidirectional_seed4
position_caret-mint-left-lavender-right-run01_transformer_bidirectional_seed4,transformer,bidirectional,position,caret-mint-left-lavender-right-run01,4,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/transformer_bidirectional_seed4
position_inverted-caret-lavender-left-mint-right-run01_transformer_bidirectional_seed4,transformer,bidirectional,position,inverted-caret-lavender-left-mint-right-run01,4,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/transformer_bidirectional_seed4
position_lavender-only-horizontal-run01_transformer_bidirectional_seed4,transformer,bidirectional,position,lavender-only-horizontal-run01,4,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/transformer_bidirectional_seed4
position_mint-only-horizontal-run01_transformer_bidirectional_seed4,transformer,bidirectional,position,mint-only-horizontal-run01,4,output/spatial-sequence/runs/position/mint-only-horizontal-run01/transformer_bidirectional_seed4
distance_pooled_transformer_bidirectional_seed4,transformer,bidirectional,distance,,4,output/spatial-sequence/runs/distance/transformer_bidirectional_seed4
area_pooled_transformer_bidirectional_seed4,transformer,bidirectional,area,,4,output/spatial-sequence/runs/area/transformer_bidirectional_seed4
height_pooled_transformer_bidirectional_seed4,transformer,bidirectional,height,,4,output/spatial-sequence/runs/height/transformer_bidirectional_seed4
velocity_pooled_transformer_bidirectional_seed4,transformer,bidirectional,velocity,,4,output/spatial-sequence/runs/velocity/transformer_bidirectional_seed4
position_caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed0,temporal-cnn,causal,position,caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed0
position_caret-mint-left-lavender-right-run01_temporal-cnn_causal_seed0,temporal-cnn,causal,position,caret-mint-left-lavender-right-run01,0,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/temporal-cnn_causal_seed0
position_inverted-caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed0,temporal-cnn,causal,position,inverted-caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed0
position_lavender-only-horizontal-run01_temporal-cnn_causal_seed0,temporal-cnn,causal,position,lavender-only-horizontal-run01,0,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/temporal-cnn_causal_seed0
position_mint-only-horizontal-run01_temporal-cnn_causal_seed0,temporal-cnn,causal,position,mint-only-horizontal-run01,0,output/spatial-sequence/runs/position/mint-only-horizontal-run01/temporal-cnn_causal_seed0
distance_pooled_temporal-cnn_causal_seed0,temporal-cnn,causal,distance,,0,output/spatial-sequence/runs/distance/temporal-cnn_causal_seed0
