source,distance_bin,channel,q25,median,q75,session_count,encounter_count,supported
lavender,8,S20,0.0004973411560058594,0.0004973411560058594,0.0004973411560058594,1,1,False
lavender,8,S21,0.0001207888126373291,0.0001207888126373291,0.0001207888126373291,1,1,False
lavender,8,S22,0.00021257996559143066,0.00021257996559143066,0.00021257996559143066,1,1,False
lavender,8,S23,-0.0027000904083251953,-0.0027000904083251953,-0.0027000904083251953,1,1,False
lavender,8,S24,0.0007870793342590332,0.0007870793342590332,0.0007870793342590332,1,1,False
lavender,8,S25,0.00017249584197998047,0.00017249584197998047,0.00017249584197998047,1,1,False
lavender,8,S26,0.001867830753326416,0.001867830753326416,0.001867830753326416,1,1,False
lavender,8,S27,-0.006247282028198242,-0.006247282028198242,-0.006247282028198242,1,1,False
lavender,8,S28,0.0003260374069213867,0.0003260374069213867,0.0003260374069213867,1,1,False
lavender,8,S29,0.000597834587097168,0.000597834587097168,0.000597834587097168,1,1,False
lavender,8,S3,-0.0033077001571655273,-0.0033077001571655273,-0.0033077001571655273,1,1,False
lavender,8,S30,6.121397018432617e-05,6.121397018432617e-05,6.121397018432617e-05,1,1,False
lavender,8,S31,-0.007355451583862305,-0.007355451583862305,-0.007355451583862305,1,1,False
lavender,8,S32,0.00018456578254699707,0.00018456578254699707,0.00018456578254699707,1,1,False
lavender,8,S4,0.0028720498085021973,0.0028720498085021973,0.0028720498085021973,1,1,False
lavender,8,S5,9.834766387939453e-05,9.834766387939453e-05,9.834766387939453e-05,1,1,False
lavender,8,S6,4.202127456665039e-06,4.202127456665039e-06,4.202127456665039e-06,1,1,False
lavender,8,S7,-0.004042506217956543,-0.004042506217956543,-0.004042506217956543,1,1,False
lavender,8,S8,0.000260770320892334,0.000260770320892334,0.000260770320892334,1,1,False
lavender,8,S9,0.001178145408630371,0.001178145408630371,0.001178145408630371,1,1,False
lavender,9,S1,-0.01487886905670166,-0.007878124713897705,0.008846521377563477,2,4,True
lavender,9,S10,-4.160404205322267e-05,5.042552947998046e-05,0.0001226663589477539,2,4,True
lavender,9,S11,-0.0007180571556091311,0.0002750158309936523,0.0013010501861572266,2,4,True
lavender,9,S12,-0.000670015811920166,-0.00017860531806945806,0.0008319616317749023,2,4,True
lavender,9,S13,-0.0005619525909423828,-0.0001148283481597901,0.0007283687591552734,2,4,True
lavender,9,S14,-0.0005056858062744141,-0.0001748353242874146,0.0005598664283752441,2,4,True
lavender,9,S15,-0.0006212592124938966,-9.137392044067383e-05,5.7220458984375e-06,2,4,True
