session,cell_id,paper_x_cm,paper_y_cm,channel,visit_count,temporal_span_s,visit_scaled_mad_kohm,normalized_dispersion
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S23,3,147.58599999999998,2.651095390319824e-05,0.03949447077409163
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S24,3,147.58599999999998,0.0021192856550216674,0.8959874467608159
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S25,3,147.58599999999998,0.0031696496486663815,1.7102803738317756
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S26,3,147.58599999999998,0.011894404578208922,1.5921974070218605
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S27,3,147.58599999999998,0.0007656363487243652,1.2377142857142858
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S28,3,147.58599999999998,0.01371765124797821,2.354466858789625
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S29,3,147.58599999999998,0.01070954167842865,2.102241187898973
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S30,3,147.58599999999998,0.001372825562953949,1.878022243713733
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S31,3,147.58599999999998,0.00013078737258911133,0.17074296262113522
caret-mint-left-lavender-right-run01,1198,3.010169506072998,-2.2276546955108643,S32,3,147.58599999999998,0.002347191488742828,1.8415724883866047
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S1,3,252.29299999999998,0.0008296161174774169,0.037386601674193366
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S2,3,252.29299999999998,9.33185577392578e-05,0.004604999215056952
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S3,3,252.29299999999998,0.0002545051574707031,0.5128205128205128
