session,channel,q01_kohm,q25_kohm,median_kohm,q75_kohm,q99_kohm
caret-mint-left-lavender-right-run01,S31,2.2044263315200805,2.2053815126419067,2.2073516845703125,2.2077345848083496,2.2080744457244874
caret-mint-left-lavender-right-run01,S32,0.7097773814201355,0.7127387523651123,0.7140007019042969,0.7147705852985382,0.7164392054080964
caret-lavender-left-mint-right-run01,S1,2.919596347808838,2.940284013748169,2.9543161392211914,2.9710798263549805,3.0115553760528564
caret-lavender-left-mint-right-run01,S2,3.0394360065460204,3.0607340335845947,3.0740654468536377,3.089019536972046,3.125648317337036
caret-lavender-left-mint-right-run01,S3,2.2042435359954835,2.205021619796753,2.2071139812469482,2.2074217796325684,2.207768135070801
caret-lavender-left-mint-right-run01,S4,1.3443541765213012,1.361066460609436,1.3679612874984741,1.3744721412658691,1.3915922737121582
caret-lavender-left-mint-right-run01,S5,1.1019163084030152,1.107373833656311,1.1087377071380615,1.1100437641143799,1.1139686346054076
caret-lavender-left-mint-right-run01,S6,0.48140793681144717,0.4816778600215912,0.4817054271697998,0.4817263185977936,0.4817649614810944
caret-lavender-left-mint-right-run01,S7,2.204472904205322,2.205242872238159,2.207327127456665,2.2077796459198,2.2081956577301027
caret-lavender-left-mint-right-run01,S8,1.1913525152206421,1.1977720260620117,1.1993300914764404,1.2009035348892212,1.2050990533828736
caret-lavender-left-mint-right-run01,S9,1.0444222259521485,1.0497714281082153,1.052095890045166,1.0542529821395874,1.0586887454986573
caret-lavender-left-mint-right-run01,S10,1.5002172565460206,1.5007797479629517,1.5008985996246338,1.5010074377059937,1.5013233280181886
caret-lavender-left-mint-right-run01,S11,2.204259796142578,2.205265522003174,2.2072203159332275,2.2076048851013184,2.20794472694397
caret-lavender-left-mint-right-run01,S12,0.8882076787948608,0.8920087814331055,0.8930984139442444,0.8939733505249023,0.8964456176757812
caret-lavender-left-mint-right-run01,S13,1.0080737924575807,1.011554479598999,1.012579083442688,1.0134049654006958,1.0159187841415405
caret-lavender-left-mint-right-run01,S14,0.9578375148773194,0.9604100584983826,0.9612471461296082,0.96197909116745,0.9638915896415711
caret-lavender-left-mint-right-run01,S15,2.204338884353638,2.2053370475769043,2.2073323726654053,2.207711696624756,2.208018589019775
caret-lavender-left-mint-right-run01,S16,0.6389390516281128,0.6399778127670288,0.6402665972709656,0.6405087113380432,0.6412484693527222
