pca_fit,channel,PC1_loading,PC2_loading,PC3_loading
lavender-only-horizontal-run01,S6,0.13033801467692016,-0.11164011629260595,0.43969882074269073
lavender-only-horizontal-run01,S7,-0.07798557936571925,0.33807372961199583,0.024970418491057373
lavender-only-horizontal-run01,S8,0.19152618775493552,-0.002664617918135868,0.3397840531664929
lavender-only-horizontal-run01,S9,0.1970793696968583,0.07175539795646957,-0.2531120070869459
lavender-only-horizontal-run01,S10,0.19888493841603408,0.01649793511318505,0.11444356251656984
lavender-only-horizontal-run01,S11,-0.07631426519932971,0.34264963123480563,0.04257726821102299
lavender-only-horizontal-run01,S12,0.20925347597695051,0.04979712397872722,-0.006767436771374217
lavender-only-horizontal-run01,S13,0.20975329562993184,0.04566100952805549,0.018254391441686307
lavender-only-horizontal-run01,S14,0.20854337077564244,0.05643395461258431,-0.06092197649020573
lavender-only-horizontal-run01,S15,-0.07562057381552767,0.3441560986661433,0.04923486216568617
lavender-only-horizontal-run01,S16,0.20927425177252476,0.04338851949456278,0.023880854188784436
lavender-only-horizontal-run01,S17,0.20536189126482177,0.05778934479527054,0.013971997041118522
lavender-only-horizontal-run01,S18,0.20860409572202948,0.03576429829427214,0.10606430831735442
lavender-only-horizontal-run01,S19,-0.07464838749989124,0.34498114312780664,0.052318141087174516
lavender-only-horizontal-run01,S20,0.20934944625267954,0.05456986939556769,-0.04027410269337436
lavender-only-horizontal-run01,S21,0.2098249905039773,0.046395802400423646,0.026925723210591966
lavender-only-horizontal-run01,S22,0.2047307198227332,0.0624284669700494,-0.1454977672734383
lavender-only-horizontal-run01,S23,-0.0779711306166294,0.3398713355782959,0.03665067617192933
lavender-only-horizontal-run01,S24,0.18298538266593667,0.07631909303808986,-0.3321316528603105
lavender-only-horizontal-run01,S25,0.20631886952578757,0.058637868848260555,-0.008140312975466479
lavender-only-horizontal-run01,S26,0.20355655643875858,0.06489672326048987,-0.15987910235686847
lavender-only-horizontal-run01,S27,-0.0753551295789379,0.34366851308771695,0.0581599178031906
lavender-only-horizontal-run01,S28,0.20288248209847867,0.01134962003552369,0.22631411569158036
lavender-only-horizontal-run01,S29,0.20888761198082414,0.040576525588657125,0.050953258073598996
lavender-only-horizontal-run01,S30,0.1873059504878145,0.007475702432222711,0.31081117604700503
lavender-only-horizontal-run01,S31,-0.07489667813869022,0.34382990810419906,0.05881056242949908
lavender-only-horizontal-run01,S32,0.20502802391444055,0.03514325207795797,0.05920036434198928
inverted-caret-lavender-left-mint-right-run01,S1,0.19864002807160164,-0.0016429334101110296,0.020055991957156873
inverted-caret-lavender-left-mint-right-run01,S2,0.20340771746511033,-6.821720856774692e-05,0.01892508855295957
inverted-caret-lavender-left-mint-right-run01,S3,-0.002773744812366484,0.26552872006828415,-0.3701788734362419
inverted-caret-lavender-left-mint-right-run01,S4,0.21294210722936624,0.003063766013825169,0.01296646649037594
inverted-caret-lavender-left-mint-right-run01,S5,0.1996168878945847,0.004692207923265611,-0.008716623170569452
inverted-caret-lavender-left-mint-right-run01,S6,0.07648972659815942,0.015171641344820437,-0.09939464831766166
inverted-caret-lavender-left-mint-right-run01,S7,-0.007650559716019206,0.3640513786194486,-0.42190049273153446
inverted-caret-lavender-left-mint-right-run01,S8,0.18864037988443924,0.002955663364776755,-0.023024939242170257
inverted-caret-lavender-left-mint-right-run01,S9,0.20531290842010824,0.00016283957910823553,0.013580072629657923
inverted-caret-lavender-left-mint-right-run01,S10,0.1991429784448609,0.017727555322702655,-0.027154225270621526
inverted-caret-lavender-left-mint-right-run01,S11,-0.01083041878132964,0.42013695457640743,-0.29969538770705556
inverted-caret-lavender-left-mint-right-run01,S12,0.21621771455037803,0.0037483325046771257,-0.0021753205599050595
inverted-caret-lavender-left-mint-right-run01,S13,0.21598583187716996,0.002950980286495934,0.0038607636748361268
inverted-caret-lavender-left-mint-right-run01,S14,0.21507825606444775,0.003026789288892696,0.0067694687512429045
