session,channel,train_rows,validation_rows,robust_standardized_median_shift,normalized_wasserstein
lavender-only-horizontal-run01,S10,589,147,-0.014132187341414375,0.30945403513827635
lavender-only-horizontal-run01,S11,589,147,-22.799211924317778,15.955559116517106
lavender-only-horizontal-run01,S12,589,147,0.14424737897520096,0.305909864329476
lavender-only-horizontal-run01,S13,589,147,0.1576751920081845,0.31132396114498473
lavender-only-horizontal-run01,S14,589,147,0.14911438540384972,0.2816781921768398
lavender-only-horizontal-run01,S15,589,147,-21.45080619728199,14.34808095629405
lavender-only-horizontal-run01,S16,589,147,0.1439359933374372,0.30266907692755207
lavender-only-horizontal-run01,S17,589,147,0.09333657736085418,0.30154380392612695
lavender-only-horizontal-run01,S18,589,147,0.1569290025386587,0.3470445138093661
lavender-only-horizontal-run01,S19,589,147,-20.439118905037923,13.523124612447301
lavender-only-horizontal-run01,S20,589,147,0.08687478610552798,0.2973450422747366
lavender-only-horizontal-run01,S21,589,147,0.0558797768889709,0.3064211415808891
lavender-only-horizontal-run01,S22,589,147,0.09846014534888228,0.2509102085082479
lavender-only-horizontal-run01,S23,589,147,-23.43121423095929,16.931147822448153
lavender-only-horizontal-run01,S24,589,147,0.1614288891068131,0.19398129859839305
lavender-only-horizontal-run01,S25,589,147,0.12137047668906349,0.30634167131832424
lavender-only-horizontal-run01,S26,589,147,0.11506925371116324,0.24933014365168754
lavender-only-horizontal-run01,S27,589,147,-21.232726735447606,14.127006386927183
lavender-only-horizontal-run01,S28,589,147,0.2247402130094222,0.4738474063538095
lavender-only-horizontal-run01,S29,589,147,0.1009199293570243,0.31927877043968267
lavender-only-horizontal-run01,S30,589,147,0.21695479798953785,0.5299864251968358
lavender-only-horizontal-run01,S31,589,147,-21.406392619868566,13.996479875403994
lavender-only-horizontal-run01,S32,589,147,0.17248354138303887,0.36109596911103975
inverted-caret-lavender-left-mint-right-run01,S1,834,208,0.21293989688542006,0.23829318643267858
inverted-caret-lavender-left-mint-right-run01,S2,834,208,0.2262529924794374,0.2584043364276735
inverted-caret-lavender-left-mint-right-run01,S3,834,208,0.13793661581001518,0.15914561181767814
inverted-caret-lavender-left-mint-right-run01,S4,834,208,0.2922154739893421,0.33817894673324794
inverted-caret-lavender-left-mint-right-run01,S5,834,208,0.5921376818129432,0.6133974118240652
inverted-caret-lavender-left-mint-right-run01,S6,834,208,1.0853003192972879,1.1420632976024345
inverted-caret-lavender-left-mint-right-run01,S7,834,208,-0.05277781247878598,0.08668165306280193
inverted-caret-lavender-left-mint-right-run01,S8,834,208,0.7614789616082036,0.8103147279247858
inverted-caret-lavender-left-mint-right-run01,S9,834,208,0.21285795591353307,0.29758464413641644
inverted-caret-lavender-left-mint-right-run01,S10,834,208,0.5924534609957269,0.5587706739870232
inverted-caret-lavender-left-mint-right-run01,S11,834,208,-0.08015052531442658,0.19726069261289328
inverted-caret-lavender-left-mint-right-run01,S12,834,208,0.4481016208737442,0.486062741958882
inverted-caret-lavender-left-mint-right-run01,S13,834,208,0.4350096711253978,0.4666301242877784
inverted-caret-lavender-left-mint-right-run01,S14,834,208,0.3500806103776223,0.3956314706604413
inverted-caret-lavender-left-mint-right-run01,S15,834,208,-0.15934867035047168,0.16163649324759125
inverted-caret-lavender-left-mint-right-run01,S16,834,208,0.4267487643578083,0.4782148827929944
inverted-caret-lavender-left-mint-right-run01,S17,834,208,0.3878117475851187,0.4263193147100186
inverted-caret-lavender-left-mint-right-run01,S18,834,208,0.4895480866678169,0.5195316936757371
inverted-caret-lavender-left-mint-right-run01,S19,834,208,-0.24983292786360095,0.1340909473737001
inverted-caret-lavender-left-mint-right-run01,S20,834,208,0.3861928243750029,0.4433436195903844
inverted-caret-lavender-left-mint-right-run01,S21,834,208,0.4118379984813594,0.44553203545749137
inverted-caret-lavender-left-mint-right-run01,S22,834,208,0.3045906234663986,0.36615992466852804
inverted-caret-lavender-left-mint-right-run01,S23,834,208,-0.08214829661513649,0.08737620600065453
inverted-caret-lavender-left-mint-right-run01,S24,834,208,0.23274661598655577,0.2847214967663816
inverted-caret-lavender-left-mint-right-run01,S25,834,208,0.36016617152800556,0.40089168617383875
inverted-caret-lavender-left-mint-right-run01,S26,834,208,0.32206842934509966,0.37864547695851675
inverted-caret-lavender-left-mint-right-run01,S27,834,208,-0.05231855099880509,0.11126256945774748
inverted-caret-lavender-left-mint-right-run01,S28,834,208,0.7575409289681291,0.7263157405033009
inverted-caret-lavender-left-mint-right-run01,S29,834,208,0.4992908703042558,0.4843757192156713
inverted-caret-lavender-left-mint-right-run01,S30,834,208,0.6189415795215174,0.7127303407379688
inverted-caret-lavender-left-mint-right-run01,S31,834,208,0.12222427991506968,0.11006890446583155
inverted-caret-lavender-left-mint-right-run01,S32,834,208,0.569077992516247,0.5829690747321054
