source,leg,sample_offset,channel,q25,median,q75,session_count,encounter_count
lavender,entry,-5,S4,-0.009700229673674612,-0.007856409464563643,-0.004252215226491293,4,20
lavender,entry,-5,S5,-0.002376402508128773,-0.0018243387147977752,-0.0006416354860578265,4,20
lavender,entry,-5,S6,-7.502192800695246e-05,-3.659266691941481e-05,9.14118506691672e-06,4,20
lavender,entry,-5,S7,-0.0010998527725021557,0.0004290450703014027,0.0005573452293098747,4,20
lavender,entry,-5,S8,-0.0027491771257840674,-0.0013808621300591363,-0.0008832216262817384,4,20
lavender,entry,-5,S9,-0.0030454702866383088,-0.002602030069400103,-0.0012103504948801813,4,20
lavender,entry,-4,S1,-0.021507623868110854,-0.015158555446526943,-0.0096522399357387,4,20
lavender,entry,-4,S10,-0.00021887677056448801,-0.00015171936580113003,-8.356571197509766e-05,4,20
lavender,entry,-4,S11,-7.847222414883719e-05,0.0001971678300337358,0.000522404522090763,4,20
lavender,entry,-4,S12,-0.0021993242777310885,-0.0015328168869018553,-0.0008698914732251849,4,20
lavender,entry,-4,S13,-0.0021201280447152946,-0.0013519340091281468,-0.0009918212890625,4,20
lavender,entry,-4,S14,-0.0016266577171556878,-0.0011953509279659816,-0.0007238515785762247,4,20
lavender,entry,-4,S15,-0.0020138675516301937,9.79705290360884e-05,0.0005344152450561523,4,20
lavender,entry,-4,S16,-0.0006235807369916867,-0.00043282444987978257,-0.00030285120010375977,4,20
lavender,entry,-4,S17,-0.005422090872740135,-0.004073426940224388,-0.00204546054204305,4,20
lavender,entry,-4,S18,-0.0031289414926008747,-0.0019295432350852273,-0.0012857615947723389,4,20
lavender,entry,-4,S19,-0.002752759239890359,-2.8523531827059982e-05,0.000558528033169833,4,20
lavender,entry,-4,S2,-0.021461670215313252,-0.01568775910597581,-0.009900631842675147,4,20
lavender,entry,-4,S20,-0.0033434751706245616,-0.0025094534669603623,-0.0016551613807678223,4,20
lavender,entry,-4,S21,-0.001302488339252961,-0.0008171402982303075,-0.0006663799285888672,4,20
lavender,entry,-4,S22,-0.0011658542083971429,-0.0009242477161543709,-0.0006628334522247314,4,20
lavender,entry,-4,S23,-0.002583662668863932,0.00010066063373119799,0.0006125731901689007,4,20
lavender,entry,-4,S24,-0.0025504185603215145,-0.0018183084634634165,-0.0011664884431021555,4,20
lavender,entry,-4,S25,-0.0022469361623128252,-0.0016423000229729542,-0.0009687542915344235,4,20
lavender,entry,-4,S26,-0.00870655160961729,-0.00760824978351593,-0.005188167095184326,4,20
lavender,entry,-4,S27,-0.0025906562805175786,-0.0016521912116508985,0.0004306706515225494,4,20
lavender,entry,-4,S28,-0.007315874099731445,-0.00544241401884291,-0.00260478258132935,4,20
lavender,entry,-4,S29,-0.007273625104855268,-0.0050042101315089646,-0.003453552722930908,4,20
lavender,entry,-4,S3,-0.002390400155798181,2.3765997453169424e-05,0.0004922105120374011,4,20
lavender,entry,-4,S30,-0.0008635105508746523,-0.000282218058904012,-0.00019476669175284275,4,20
lavender,entry,-4,S31,-0.00040115009654652,-9.881366382945669e-05,0.00033732977780428797,4,20
lavender,entry,-4,S32,-0.0018373898097446986,-0.0014660835266113283,-0.0008002519607543945,4,20
lavender,entry,-4,S4,-0.011418367877151028,-0.009300451193537031,-0.005989444255828857,4,20
lavender,entry,-4,S5,-0.002691841125488281,-0.0021378835042317706,-0.000853351184300014,4,20
lavender,entry,-4,S6,-6.81104985150424e-05,-3.4770140281090354e-05,7.212162017822267e-06,4,20
lavender,entry,-4,S7,-0.0022944031339703183,3.677281466397372e-05,0.0005258770732136515,4,20
lavender,entry,-4,S8,-0.0028818478951087366,-0.0015431377622816297,-0.0010031461715698244,4,20
lavender,entry,-4,S9,-0.003647912632335316,-0.002815057069827349,-0.0018601015016630098,4,20
lavender,entry,-3,S1,-0.02299365997314453,-0.01630850327320588,-0.011505603790283203,4,20
lavender,entry,-3,S10,-0.0002198730196271624,-0.00015206306011645825,-8.738040924072266e-05,4,20
lavender,entry,-3,S11,-0.002556397698142312,8.716985776826922e-05,0.0005159876563332296,4,20
lavender,entry,-3,S12,-0.002247113170045795,-0.0017112890879313152,-0.0010789803096226283,4,20
lavender,entry,-3,S13,-0.002197905020280318,-0.001513332790798611,-0.001030700547354562,4,20
lavender,entry,-3,S14,-0.0017507383317658396,-0.0013587081006595067,-0.0009298920631408691,4,20
lavender,entry,-3,S15,-0.002562551787405303,1.836287510859498e-05,0.0006586529991843482,4,20
lavender,entry,-3,S16,-0.000638074947125984,-0.00048649843250002183,-0.0003337860107421875,4,20
lavender,entry,-3,S17,-0.005816315993284568,-0.004669828848405318,-0.0027289986610412598,4,20
lavender,entry,-3,S18,-0.00323945742387038,-0.002155290021524801,-0.001463502645492554,4,20
lavender,entry,-3,S19,-0.0010198896581476396,0.00014493248679421162,0.00036324154246937144,4,20
lavender,entry,-3,S2,-0.02236175537109375,-0.016544623252673026,-0.011912107467651367,4,20
lavender,entry,-3,S20,-0.003529266877607866,-0.002902597188949585,-0.001855313777923584,4,20
lavender,entry,-3,S21,-0.001362878264802875,-0.0009442770055362157,-0.0007287859916687012,4,20
lavender,entry,-3,S22,-0.0012016242200678046,-0.0009967516630123826,-0.0006682276725769045,4,20
lavender,entry,-3,S23,-0.0018882448023015803,2.3473392833362977e-05,0.0003687251697887074,4,20
lavender,entry,-3,S24,-0.0026089928366921167,-0.0018373758364946414,-0.00118321180343628,4,20
lavender,entry,-3,S25,-0.0021522457783038802,-0.0017723070250617132,-0.001083672046661377,4,20
lavender,entry,-3,S26,-0.008994273705915972,-0.007675968683682956,-0.005524694919586182,4,20
lavender,entry,-3,S27,-0.0014860351364333912,-2.32325659857856e-05,0.0005284191726090063,4,20
lavender,entry,-3,S28,-0.007676489425427986,-0.005943238735198975,-0.0030342936515808123,4,20
lavender,entry,-3,S29,-0.007420673514857437,-0.005562807832445418,-0.003915607929229736,4,20
lavender,entry,-3,S3,-0.0006864591078324749,0.00016218604463519464,0.0003384181431361607,4,20
lavender,entry,-3,S30,-0.0008727348212039832,-0.0003414365980360243,-0.00020013962473188127,4,20
lavender,entry,-3,S31,-0.002209898197289669,-0.0003078670212716774,0.0003326651337858917,4,20
lavender,entry,-3,S32,-0.0018949253218514578,-0.001454559961954752,-0.0007876072611127571,4,20
lavender,entry,-3,S4,-0.012638297947970304,-0.009824648881569888,-0.007328450679779053,4,20
lavender,entry,-3,S5,-0.0028971158541165865,-0.0021826982498168944,-0.0010767323630196707,4,20
lavender,entry,-3,S6,-7.890750254903522e-05,-3.950072057319409e-05,5.662441253662109e-06,4,20
