session,channel,raw_vmin_kohm,raw_vmax_kohm,robust_vmin,robust_vmax
mint-only-horizontal-run01,S23,0.7157892227172852,2.208074701803041,-3.0,3.0
caret-mint-left-lavender-right-run01,S23,0.7157892227172852,2.208074701803041,-3.0,3.0
caret-lavender-left-mint-right-run01,S23,0.7157892227172852,2.208074701803041,-3.0,3.0
lavender-only-horizontal-run01,S23,0.7157892227172852,2.208074701803041,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S23,0.7157892227172852,2.208074701803041,-3.0,3.0
mint-only-horizontal-run01,S24,1.1739744032810735,1.182360609445263,-3.0,3.0
caret-mint-left-lavender-right-run01,S24,1.1739744032810735,1.182360609445263,-3.0,3.0
caret-lavender-left-mint-right-run01,S24,1.1739744032810735,1.182360609445263,-3.0,3.0
lavender-only-horizontal-run01,S24,1.1739744032810735,1.182360609445263,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S24,1.1739744032810735,1.182360609445263,-3.0,3.0
mint-only-horizontal-run01,S25,1.8171166837215424,1.8272957335245912,-3.0,3.0
caret-mint-left-lavender-right-run01,S25,1.8171166837215424,1.8272957335245912,-3.0,3.0
caret-lavender-left-mint-right-run01,S25,1.8171166837215424,1.8272957335245912,-3.0,3.0
lavender-only-horizontal-run01,S25,1.8171166837215424,1.8272957335245912,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S25,1.8171166837215424,1.8272957335245912,-3.0,3.0
mint-only-horizontal-run01,S26,1.3613992923264826,1.3942750384349134,-3.0,3.0
caret-mint-left-lavender-right-run01,S26,1.3613992923264826,1.3942750384349134,-3.0,3.0
caret-lavender-left-mint-right-run01,S26,1.3613992923264826,1.3942750384349134,-3.0,3.0
lavender-only-horizontal-run01,S26,1.3613992923264826,1.3942750384349134,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S26,1.3613992923264826,1.3942750384349134,-3.0,3.0
mint-only-horizontal-run01,S27,1.0509117245674133,2.207875506873863,-3.0,3.0
caret-mint-left-lavender-right-run01,S27,1.0509117245674133,2.207875506873863,-3.0,3.0
caret-lavender-left-mint-right-run01,S27,1.0509117245674133,2.207875506873863,-3.0,3.0
lavender-only-horizontal-run01,S27,1.0509117245674133,2.207875506873863,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S27,1.0509117245674133,2.207875506873863,-3.0,3.0
mint-only-horizontal-run01,S28,1.1427292466913652,1.1743136102216205,-3.0,3.0
caret-mint-left-lavender-right-run01,S28,1.1427292466913652,1.1743136102216205,-3.0,3.0
caret-lavender-left-mint-right-run01,S28,1.1427292466913652,1.1743136102216205,-3.0,3.0
