host_timestamp_utc,elapsed_s,camera_timestamp_ms,frame_number,visible_cube_faces,num_snout_estimates,snout_cam_x_m,snout_cam_y_m,snout_cam_z_m,snout_desk_x_m,snout_desk_y_m,snout_desk_z_m,delta_from_baseline_cm,delta_x_cm,delta_y_cm,delta_z_cm
2026-07-17T21:17:03.133+00:00,12.13144,1784323023090.046,348,0;2,2,0.2780223719630178,-0.26387255944241444,0.2905567055768691,0.49222301533589274,-0.5268052258522851,-0.4435087775623271,,,,
2026-07-17T21:17:03.167+00:00,12.165417,1784323023123.386,349,2,1,0.23027176996924403,-0.1993460611252712,0.24882325120053378,0.48402298260437837,-0.450616014724063,-0.4916069455199847,,,,
2026-07-17T21:17:03.199+00:00,12.19861,1784323023156.726,350,2,1,0.24320211527668378,-0.19865367243163135,0.26195661440201956,0.49514344592803605,-0.45533187553108595,-0.47766942733449624,,,,
2026-07-17T21:17:03.234+00:00,12.231915,1784323023190.066,351,2,1,0.2392591898469985,-0.20021263368721548,0.25630769562115396,0.4911447185865183,-0.45519158946854055,-0.4834898915773329,,,,
2026-07-17T21:17:03.267+00:00,12.264641,1784323023223.407,352,2,1,0.23739351323951624,-0.20307124190903295,0.25887024051457275,0.48802324007922754,-0.4565611399620174,-0.48092089763520796,,,,
2026-07-17T21:17:03.299+00:00,12.298393,1784323023256.748,353,2,1,0.24107888186460058,-0.1978633783562317,0.26055698846480646,0.49373706069184775,-0.4537138987071589,-0.4792492593434721,,,,
2026-07-17T21:17:03.333+00:00,12.331914,1784323023290.088,354,2,1,0.24107888186460058,-0.1978633783562317,0.26055698846480646,0.49373706069184775,-0.4537138987071589,-0.4792492593434721,,,,
2026-07-17T21:17:03.367+00:00,12.364928,1784323023323.429,355,0;2,2,0.28157659852156475,-0.2656981865422251,0.2955516797161851,0.49461285236852515,-0.5373655997858909,-0.4042464708277891,11.235565134676026,0.08757916766773954,-8.365170107873205,7.500278851568304
2026-07-17T21:17:03.399+00:00,12.398188,1784323023356.769,356,0;2,2,0.2802063394354486,-0.26800727653687056,0.29613466688149265,0.49188595695376813,-0.5310331664211254,-0.4375935293104703,8.784586267693822,-0.1851103738079618,-7.731926771396652,4.1655730033001825
2026-07-17T21:17:03.433+00:00,12.431796,1784323023390.11,357,0;2,2,0.2804261055183785,-0.2672038119206087,0.2936118809568799,0.49256150709449864,-0.5306386799302077,-0.4401324884984167,8.630715876344645,-0.11755535973491105,-7.692478122304886,3.911677084505544
2026-07-17T21:17:03.467+00:00,12.465423,1784323023423.45,358,0;2,2,0.2839900549292235,-0.27008621761034357,0.30177670386000244,0.4939513954684966,-0.5342548310728573,-0.43160805348934006,9.357655807395501,0.021433477664883904,-8.054093236569843,4.764120585413206
